Set parameter TimeLimit to value 14400
Set parameter Threads to value 1
Set parameter MIPGap to value 0
Set parameter OutputFlag to value 1
Gurobi Optimizer version 12.0.3 build v12.0.3rc0 (linux64 - "CentOS Linux 7 (Core)")

CPU model: Intel(R) Xeon(R) Gold 6230R CPU @ 2.10GHz, instruction set [SSE2|AVX|AVX2|AVX512]
Thread count: 52 physical cores, 52 logical processors, using up to 1 threads

Non-default parameters:
TimeLimit  14400
MIPGap  0
Threads  1

Optimize a model with 40151 rows, 7150 columns and 89997 nonzeros
Model fingerprint: 0x5b53b6fb
Variable types: 5150 continuous, 2000 integer (2000 binary)
Coefficient statistics:
  Matrix range     [1e-04, 5e+01]
  Objective range  [8e-01, 1e+00]
  Bounds range     [5e+01, 2e+02]
  RHS range        [2e-01, 3e+02]
Found heuristic solution: objective 8127.8666263
Presolve removed 150 rows and 5301 columns
Presolve time: 0.46s
Presolved: 40001 rows, 1849 columns, 120957 nonzeros
Found heuristic solution: objective 7353.9548934
Variable types: 100 continuous, 1749 integer (1749 binary)
Root relaxation presolved: 1849 rows, 41850 columns, 122806 nonzeros


Root relaxation: objective 6.383064e+03, 4403 iterations, 0.78 seconds (0.93 work units)

    Nodes    |    Current Node    |     Objective Bounds      |     Work
 Expl Unexpl |  Obj  Depth IntInf | Incumbent    BestBd   Gap | It/Node Time

  1067   856 6752.21710  138 1015 6762.17494 6752.21710  0.15%   277  785s
  1076   862 6752.25275  219 1028 6762.17494 6752.25275  0.15%   274  791s
  1077   863 6752.32552  205 1011 6762.17494 6752.32552  0.15%   274  796s
  1082   866 6752.42164   77 1022 6762.17494 6752.42164  0.14%   273  800s
  1089   871 6757.50564  406 1036 6762.17494 6752.43102  0.14%   271  805s
  1091   872 6752.58608  181 1017 6762.17494 6752.58608  0.14%   271  812s
  1094   874 6752.63498  350 1011 6762.17494 6752.63498  0.14%   270  815s
  1102   880 6752.64917  237 1022 6762.17494 6752.64917  0.14%   268  820s
  1103   880 6752.71982   30 1013 6762.17494 6752.71982  0.14%   268  825s
  1109   884 6752.81951  330 1007 6762.17494 6752.81951  0.14%   266  830s
  1117   890 6753.09082  375 1001 6762.17494 6752.89911  0.14%   264  839s
  1118   890 6752.94546   18 1014 6762.17494 6752.94546  0.14%   264  841s
  1124   894 6753.00577  222 1026 6762.17494 6753.00577  0.14%   263  845s
  1129   898 6753.06838  235 1011 6762.17494 6753.06838  0.13%   262  854s
  1130   898 6756.91218  399 1037 6762.17494 6753.10852  0.13%   261  856s
  1137   903 6753.15521  115 1028 6762.17494 6753.15521  0.13%   260  860s
  1140   905 6753.21461   69 1023 6762.17494 6753.21461  0.13%   259  868s
  1141   906 6753.25177  205 1010 6762.17494 6753.25177  0.13%   259  870s
  1151   912 6753.30681  352 1036 6762.17494 6753.30681  0.13%   257  875s
  1153   914 6753.34648  367 1028 6762.17494 6753.34648  0.13%   256  883s
  1155   915 6753.38514  167 1031 6762.17494 6753.38514  0.13%   256  885s
  1165   922 6753.41606  301 1037 6762.17494 6753.41606  0.13%   253  892s
  1166   922 6757.50564  406 1004 6762.17494 6753.48368  0.13%   253  898s
  1168   924 6753.54108  214 1013 6762.17494 6753.54108  0.13%   253  900s
  1179   931 6757.50564  406 1023 6762.17494 6753.57852  0.13%   250  907s
  1180   932 6753.63948  134 1001 6762.17494 6753.63948  0.13%   250  912s
  1182   933 6753.69662   77 1018 6762.17494 6753.69662  0.13%   250  915s
  1192   940 6753.74035  339 1010 6762.17494 6753.74035  0.12%   248  920s
  1195   942 6753.78341   67 1019 6762.17494 6753.78341  0.12%   247  928s
  1196   942 6753.80957  186 1018 6762.17494 6753.80957  0.12%   247  930s
  1204   948 6754.47479  385 1009 6762.17494 6753.86373  0.12%   245  935s
  1209   951 6753.91429  330 1021 6762.17494 6753.91429  0.12%   244  944s
  1210   952 6753.94738  132 1013 6762.17494 6753.94738  0.12%   244  946s
  1216   956 6753.99419  121 1045 6762.17494 6753.99419  0.12%   243  950s
  1223   960 6757.16905  392 1015 6762.17494 6754.00313  0.12%   241  955s
  1224   961 6754.05890  222 1037 6762.17494 6754.05890  0.12%   241  961s
  1228   964 6754.12264   27 1040 6762.17494 6754.12264  0.12%   240  965s
  1235   968 6754.13887  183 1041 6762.17494 6754.13887  0.12%   239  971s
  1236   969 6754.16985   38 1004 6762.17494 6754.16985  0.12%   239  976s
  1240   972 6754.23582   69 1044 6762.17494 6754.23582  0.12%   238  980s
  1251   979 6754.25450  352 1029 6762.17494 6754.25450  0.12%   236  987s
  1252   980 6754.27707  266 1032 6762.17494 6754.27707  0.12%   236  992s
  1255   982 6754.32758  167 1033 6762.17494 6754.32758  0.12%   235  995s
  1264   988 6755.66893  391 1036 6762.17494 6754.34845  0.12%   234 1002s
  1265   988 6754.36861  301 1028 6762.17494 6754.36861  0.12%   233 1007s
  1268   990 6754.40997  214 1043 6762.17494 6754.40997  0.11%   233 1010s
  1276   996 6754.42622  219 1031 6762.17494 6754.42622  0.11%   231 1016s
